[rospy.client][INFO] 2024-12-04 13:51:17,680: init_node, name[/fiona/robot_decision], pid[1325]
[rosout][INFO] 2024-12-04 13:51:18,769: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:18,783: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:18,819: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:18,833: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:18,869: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:18,884: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:18,919: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:18,935: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:18,969: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:18,984: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:19,019: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:19,033: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:19,071: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:19,083: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:19,119: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:19,134: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:19,169: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:19,184: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:19,219: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:19,234: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:19,269: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:19,286: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:19,319: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:19,333: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:19,370: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:19,391: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:19,419: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:19,433: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:19,470: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:19,484: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:19,519: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:19,533: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:19,570: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:19,584: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:19,620: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:19,633: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:19,670: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:19,683: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:19,720: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:19,733: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:19,769: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:19,784: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:19,819: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:19,833: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:19,869: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:19,884: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:19,920: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:19,933: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:19,970: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:19,983: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:20,020: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:20,033: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:20,069: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
[rosout][INFO] 2024-12-04 13:51:20,084: AprilTag -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000m
[rosout][INFO] 2024-12-04 13:51:20,119: Wheel Omega -- Linear vel: 0.000 m/s, Ang vel: 0.000 rad/s, Tot Dis: 0.000 m
